# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2025-11-01T01:53:00.0/2025-11-01T01:54:00.0;7.8112;4.6920;3.0253;1.6667;8.9261;4.6920;3.0253;1.6667;8.9261;1.0000
2025-11-01T01:54:00.0/2025-11-01T01:55:00.0;7.9002;4.7626;3.0834;1.6791;8.9951;4.7626;3.0834;1.6791;8.9951;1.0000
2025-11-01T01:55:00.0/2025-11-01T01:56:00.0;7.9890;4.8331;3.1417;1.6914;9.0632;4.8331;3.1417;1.6914;9.0632;1.0000
2025-11-01T01:56:00.0/2025-11-01T01:57:00.0;8.0777;4.9037;3.2002;1.7035;9.1305;4.9037;3.2002;1.7035;9.1305;1.0000
2025-11-01T01:57:00.0/2025-11-01T01:58:00.0;8.1662;4.9743;3.2588;1.7155;9.1969;4.9743;3.2588;1.7155;9.1969;1.0000
2025-11-01T01:58:00.0/2025-11-01T01:59:00.0;8.2546;5.0448;3.3175;1.7274;9.2624;5.0448;3.3175;1.7274;9.2624;1.0000
2025-11-01T01:59:00.0/2025-11-01T02:00:00.0;8.3428;5.1154;3.3763;1.7391;9.3271;5.1154;3.3763;1.7391;9.3271;1.0000
2025-11-01T02:00:00.0/2025-11-01T02:01:00.0;8.4308;5.1860;3.4353;1.7507;9.3909;5.1860;3.4353;1.7507;9.3909;1.0000
2025-11-01T02:01:00.0/2025-11-01T02:02:00.0;8.5186;5.2565;3.4944;1.7621;9.4540;5.2565;3.4944;1.7621;9.4540;1.0000
2025-11-01T02:02:00.0/2025-11-01T02:03:00.0;8.6062;5.3271;3.5536;1.7734;9.5162;5.3271;3.5536;1.7734;9.5162;1.0000
2025-11-01T02:03:00.0/2025-11-01T02:04:00.0;8.6937;5.3976;3.6129;1.7846;9.5777;5.3976;3.6129;1.7846;9.5777;1.0000
2025-11-01T02:04:00.0/2025-11-01T02:05:00.0;8.7810;5.4680;3.6723;1.7957;9.6384;5.4680;3.6723;1.7957;9.6384;1.0000
2025-11-01T02:05:00.0/2025-11-01T02:06:00.0;8.8681;5.5385;3.7318;1.8067;9.6984;5.5385;3.7318;1.8067;9.6984;1.0000
2025-11-01T02:06:00.0/2025-11-01T02:07:00.0;8.9551;5.6089;3.7914;1.8175;9.7576;5.6089;3.7914;1.8175;9.7576;1.0000
2025-11-01T02:07:00.0/2025-11-01T02:08:00.0;9.0418;5.6793;3.8511;1.8282;9.8161;5.6793;3.8511;1.8282;9.8161;1.0000
2025-11-01T02:08:00.0/2025-11-01T02:09:00.0;9.1284;5.7496;3.9108;1.8388;9.8739;5.7496;3.9108;1.8388;9.8739;1.0000
2025-11-01T02:09:00.0/2025-11-01T02:10:00.0;9.2148;5.8199;3.9707;1.8492;9.9309;5.8199;3.9707;1.8492;9.9309;1.0000
2025-11-01T02:10:00.0/2025-11-01T02:11:00.0;9.3009;5.8901;4.0306;1.8596;9.9873;5.8901;4.0306;1.8596;9.9873;1.0000
2025-11-01T02:11:00.0/2025-11-01T02:12:00.0;9.3869;5.9603;4.0905;1.8698;10.0430;5.9603;4.0905;1.8698;10.0430;1.0000
